Pcode,Town,District,dis_code,Province,Geo_x,Geo_y,B,S,Ignore_prov,Ignore_district,Ignore_description
1384,THE OAKS,Mopani District Municipality,DC33,Limpopo,-24.51274,31.04638,Y,,Limpopo,DC33,Mopani District Municipality
1389,PHALABORWA,Mopani District Municipality,DC33,Limpopo,-23.9424435,31.1409218,Y,Y,Limpopo,DC33,Mopani District Municipality
1390,PHALABORWA,Mopani District Municipality,DC33,Limpopo,-23.948467,31.135916,Y,Y,Limpopo,DC33,Mopani District Municipality
1391,NAMAKGALE,Mopani District Municipality,DC33,Limpopo,-23.9371799,31.02945,Y,Y,Limpopo,DC33,Mopani District Municipality
1392,LULEKANI,Mopani District Municipality,DC33,Limpopo,-23.864421,31.082137,Y,Y,Limpopo,DC33,Mopani District Municipality
1393,PATAMEDI,Mopani District Municipality,DC33,Limpopo,-23.948467,31.135916,Y,,Limpopo,DC33,Mopani District Municipality
1394,SELWANA,Mopani District Municipality,DC33,Limpopo,-23.9424435,31.1409218,Y,,Limpopo,DC33,Mopani District Municipality
1395,MASHISHIMALE,Mopani District Municipality,DC33,Limpopo,-23.948467,31.135916,Y,,Limpopo,DC33,Mopani District Municipality
1396,MASEKE,Mopani District Municipality,DC33,Limpopo,-23.948467,31.135916,Y,,Limpopo,DC33,Mopani District Municipality
1397,TLAPENG,Mopani District Municipality,DC33,Limpopo,-23.9371799,31.02945,Y,,Limpopo,DC33,Mopani District Municipality
1398,BATUBATSE,Mopani District Municipality,DC33,Limpopo,-23.9371799,31.02945,Y,,Limpopo,DC33,Mopani District Municipality
1400,GERMISTON,Ekurhuleni Metropolitan Municipality,EKU,Gauteng,-26.2146699,28.160479,Y,Y,Gauteng,EKU,Ekurhuleni Metropolitan Municipality
1401,ALBEMARLE,Ekurhuleni Metropolitan Municipality,EKU,Gauteng,-26.2641523,28.1561533,Y,Y,Gauteng,JHB,City of Johannesburg Metropolitan Municipality,DIS,,Location:Albemarle Street Code:1401 Box Code:1410 Area:Germiston Municipality:Ekurhuleni State:Gaute
1402,ANNEX PARK,Ekurhuleni Metropolitan Municipality,EKU,Gauteng,-26.2146699,28.160479,Y,,Gauteng,EKU,Ekurhuleni Metropolitan Municipality
1403,DELMENVILLE,Ekurhuleni Metropolitan Municipality,EKU,Gauteng,-26.2408644,28.1766294,Y,Y,Gauteng,EKU,Ekurhuleni Metropolitan Municipality
1404,DELMORE,Ekurhuleni Metropolitan Municipality,EKU,Gauteng,-26.213705,28.207001,Y,Y,Gauteng,EKU,Ekurhuleni Metropolitan Municipality
1405,DINWIDDIE,Ekurhuleni Metropolitan Municipality,EKU,Gauteng,-26.26556,28.16582,Y,Y,Gauteng,EKU,Ekurhuleni Metropolitan Municipality
1406,ELANDSFONTEIN,Ekurhuleni Metropolitan Municipality,EKU,Gauteng,-26.1704026,28.1888131,Y,Y,Gauteng,EKU,Ekurhuleni Metropolitan Municipality
1407,ELSBURG,Ekurhuleni Metropolitan Municipality,EKU,Gauteng,-26.2498034,28.2022694,Y,Y,Gauteng,EKU,Ekurhuleni Metropolitan Municipality
1408,FISHER'S HILL,Ekurhuleni Metropolitan Municipality,EKU,Gauteng,-26.1812844,28.1619751,Y,Y,Gauteng,EKU,Ekurhuleni Metropolitan Municipality
1409,GRACELAND VILLAGE,Ekurhuleni Metropolitan Municipality,EKU,Gauteng,-26.2498034,28.2022694,Y,Y,Gauteng,EKU,Ekurhuleni Metropolitan Municipality
1410,ALBEMARLE,Ekurhuleni Metropolitan Municipality,EKU,Gauteng,-26.2646309,28.154384,Y,Y,Gauteng,EKU,Ekurhuleni Metropolitan Municipality
1411,GERMISTON SOUTH,Ekurhuleni Metropolitan Municipality,EKU,Gauteng,-26.22372,28.16727,Y,Y,Gauteng,EKU,Ekurhuleni Metropolitan Municipality
1412,HOMESTEAD,Ekurhuleni Metropolitan Municipality,EKU,Gauteng,-26.1768,28.18818,Y,Y,Gauteng,EKU,Ekurhuleni Metropolitan Municipality
1413,KNIGHTS,Ekurhuleni Metropolitan Municipality,EKU,Gauteng,-26.196374,28.173463,Y,Y,Gauteng,EKU,Ekurhuleni Metropolitan Municipality
